//[ -]?author: Jannik Strötgen
//[ -]?email:  stroetgen@uni-hd.de
//[ -]?date:   2011-06-10
//[ -]?This file contains "duration numbers" and their normalized expressions
//[ -]?according to TIMEX3 format.
//[ -]?For example, the normalized value of "one" is "1"
//[ -]?FORMAT: "duration-number","normalized-duration-number"
"Forty[ -]?two","42"
"Forty[ -]?three","43"
"Forty[ -]?four","44"
"Forty[ -]?five","45"
"Forty[ -]?six","46"
"Forty[ -]?seven","47"
"Forty[ -]?eight","48"
"Forty[ -]?nine","49"
"Fifty","50"
"Fifty[ -]?one","51"
"Fifty[ -]?two","52"
"Fifty[ -]?three","53"
"Fifty[ -]?four","54"
"Fifty[ -]?five","55"
"Fifty[ -]?six","56"
"Fifty[ -]?seven","57"
"Fifty[ -]?eight","58"
"Fifty[ -]?nine","59"
"Sixty","60"
"Sixty[ -]?one","61"
"Sixty[ -]?two","62"
"Sixty[ -]?three","63"
"Sixty[ -]?four","64"
"Sixty[ -]?five","65"
"Sixty[ -]?six","66"
"Sixty[ -]?seven","67"
"Sixty[ -]?eight","68"
"Sixty[ -]?nine","69"
"Seventy","70"
"Seventy[ -]?one","71"
"Seventy[ -]?two","72"
"Seventy[ -]?three","73"
"Seventy[ -]?four","74"
"Seventy[ -]?five","75"
"Seventy[ -]?six","76"
"Seventy[ -]?seven","77"
"Seventy[ -]?eight","78"
"Seventy[ -]?nine","79"
"Eighty","80"
"Eighty[ -]?one","81"
"Eighty[ -]?two","82"
"Eighty[ -]?three","83"
"Eighty[ -]?four","84"
"Eighty[ -]?five","85"
"Eighty[ -]?six","86"
"Eighty[ -]?seven","87"
"Eighty[ -]?eight","88"
"Eighty[ -]?nine","89"
"Ninety","90"
"Ninety[ -]?one","91"
"Ninety[ -]?two","92"
"Ninety[ -]?three","93"
"Ninety[ -]?four","94"
"Ninety[ -]?five","95"
"Ninety[ -]?six","96"
"Ninety[ -]?seven","97"
"Ninety[ -]?eight","98"
"Ninety[ -]?nine","99"

