"[Gg]azetec[iı]ler [Gg][üu]n[üu]","01-10"
"[Aa]tat[üu]rk’[üu] [Aa]nma [Vv]e [Gg]en[çc]l[iı]k [Vv]e [Ss]por [Bb]ayram[iı]","05-19"

"[İIiı]stanbul’un [Ff]eth[iı]","05-29"

"[Dd][üu]nya [Hh]ostesler [Gg][üu]n[üu]","05-31"

"[Dd][üu]nya [ÇCçc]evre [Gg][üu]n[üu]","06-05"

"[Uu]luslararas[iı] [Uu]yu[şs]turucu [Kk]ullan[iı]m[iı] [Vv]e [Kk]a[çc]ak[çc][iı]l[iı][gğ][iı] [İIiı]le [Mm][üu]cadele [Gg][üu]n[üu]","06-26"

"[Kk]abotaj [Vv]e [Dd]en[iı]z [Bb]ayram[iı]","07-01"

"[Dd][üu]nya [Nn][üu]fus [Gg][üu]n[üu]","07-11"

"[Gg]azetec[iı]ler [Vv]e [Bb]as[iı]n [Bb]ayram[iı]","07-24"

"[Zz]afer [Bb]ayram[iı]","08-30"

"[Dd][üu]nya [Bb]ar[iı][şs] [Gg][üu]n[üu]","09-01"

"[ŞSşs]eh[iı]t [Vv]e [Gg]az[iı]ler [Gg][üu]n[üu]","09-19"

"[Tt][üu]rk [Dd][iı]l [Bb]ayram[iı]","09-26"

"[Dd][üu]nya [Tt]ur[iı]zm [Gg][üu]n[üu]","09-27"

"[Uu]luslararas[iı] [ÖOöo][gğ]retmenler [Gg][üu]n[üu]","10-05"

"[Hh]ayvanlar[iı] [Kk]oruma [Gg][üu]n[üu]","10-04"

"[Dd][üu]nya [Mm][iı]marl[iı]k [Gg][üu]n[üu]","10-04"

"[Aa]nkara’n[iı]n [Bb]a[şs]kent [Oo]lu[şs]u","10-13"

"[Dd][üu]nya [Kk]onut [Gg][üu]n[üu]","10-13"	

"[Dd][üu]nya [Ss]tandartlar [Gg][üu]n[üu]","10-14"

"[Dd][üu]nya [Gg][iı]da [Gg][üu]n[üu]","10-16"

"[Dd][üu]nya [Yy]oksullukla [Mm][üu]cadele [Gg][üu]n[üu]","10-17"

"[Bb][iı]rle[şs]m[iı][şs] [Mm][iı]lletler [Gg][üu]n[üu]","10-24"

"[Cc]umhur[iı]yet [Bb]ayram[iı]","10-29"

"[Dd][üu]nya [Tt]asarruf [Gg][üu]n[üu]","10-31"

"[Dd][üu]nya [ŞSşs]eh[iı]rc[iı]l[iı]k [Gg][üu]n[üu]","11-06"

"[Aa]tat[üu]rk’[üu]n [ÖOöo]l[üu]m [Yy][iı]ld[öo]n[üu]m[üu]","11-10"

"[Aa]fet [Ee][gğ][iı]t[iı]m[iı] [Hh]az[iı]rl[iı]k [Gg][üu]n[üu]","11-12"

"[Uu][Nn][Ee][Ss][Cc][Oo]’nun [Kk]urulu[şs] [Gg][üu]n[üu]","11-16"

"[Dd][üu]nya [Ff]elsefe [Gg][üu]n[üu]","11-20"

"[ÇCçc]ocuk [Hh]aklar[iı] [Gg][üu]n[üu]","11-20"

"[ÖOöo][gğ]retmenler [Gg][üu]n[üu]","11-24"

"[Dd][üu]nya [Aa][İIiı]I[iı]ı][Dd][Ss] [Gg][üu]n[üu]","12-01"

"[Dd][üu]nya [Ee]ngell[iı]ler [Gg][üu]n[üu]","12-03"

"[Kk]ad[iı]n [Hh]aklar[iı] [Gg][üu]n[üu]","12-05"

"[Dd][üu]nya [Mm]adenc[iı]ler [Gg][üu]n[üu]","12-04"

"[Dd][üu]nya [İIiı]nsan [Hh]aklar[iı] [Gg][üu]n[üu]","12-10"

"[Dd][üu]nya [Kk]ooperat[iı]f[çc][iı]l[iı]k [Gg][üu]n[üu]","12-21"

"[Aa]tat[üu]rk’[üu]n [Aa]nkara’ya [Gg]el[iı][şs][iı]","12-27"

"[Yy][iı]lba[şs][iı] [Aa]k[şs]am[iı]","12-31"
"[Yy][iı]lba[şs][iı] [Gg]eces[iı]","12-31"
"[Yy][iı]lba[şs][iı]","12-31"
