// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "duration-numbers words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "eins" is "1"
// FORMAT: "duration-number-word","normalized-duration-number-word"
"Einundfünfzig","51"
"Zweiundfünfzig","52"
"Dreiundfünfzig","53"
"Vierundfünfzig","54"
"Fünfundfünfzig","55"
"Sechsundfünfzig","56"
"Siebenundfünfzig","57"
"Achtundfünfzig","58"
"Neunundfünfzig","59"
"Sechzig","60"
"Einundsechzig","61"
"Zweiundsechzig","62"
"Dreiundsechzig","63"
"Vierundsechzig","64"
"Fünfundsechzig","65"
"Sechsundsechzig","66"
"Siebenundsechzig","67"
"Achtundsechzig","68"
"Neunundsechzig","69"
"Siebzig","70"
"Einundsiebzig","71"
"Zweiundsiebzig","72"
"Dreiundsiebzig","73"
"Vierundsiebzig","74"
"Fünfundsiebzig","75"
"Sechsundsiebzig","76"
"Siebenundsiebzig","77"
"Achtundsiebzig","78"
"Neunundsiebzig","79"
"Achtzig","80"
"Einundachtzig","81"
"Zweiundachtzig","82"
"Dreiundachtzig","83"
"Vierundachtzig","84"
"Fünfundachtzig","85"
"Sechsundachtzig","86"
"Siebenundachtzig","87"
"Achtundachtzig","88"
"Neunundachtzig","89"
"Neunzig","90"
"Einundneunzig","91"
"Zweiundneunzig","92"
"Dreiundneunzig","93"
"Vierundneunzig","94"
"Fünfundneunzig","95"
"Sechsundneunzig","96"
"Siebenundneunzig","97"
"Achtundneunzig","98"
"Neunundneunzig","99"
