// author: Luka Skukan
// email:  luka.skukan@fer.hr
// date:   2014-10-15
// This file contains "[Dd]uration numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "[Oo]ne" is "1"
// FORMAT: "[Dd]uration-number","normalized-duration-number"
//Cardinal
"[Ss]edamdeset (i )?treć[iaeu]","73"
"[Oo]samdeset (i )?treć[iaeu]","83"
"[Dd]evedeset (i )?treć[iaeu]","93"
"[Dd]vadeset (i )?četvrt[aeiou]","24"
"[Tt]rideset (i )?četvrt[aeiou]","34"
"[Čč]etrdeset (i )?četvrt[aeiou]","44"
"[Pp]edeset (i )?četvrt[aeiou]","54"
"[Šš]ezdeset (i )?četvrt[aeiou]","64"
"[Ss]edamdeset (i )?četvrt[aeiou]","74"
"[Oo]samdeset (i )?četvrt[aeiou]","84"
"[Dd]evedeset (i )?četvrt[aeiou]","94"
"[Dd]vadeset (i )?pet[aeiou]","25"
"[Tt]rideset (i )?pet[aeiou]","35"
"[Čč]etrdeset (i )?pet[aeiou]","45"
"[Pp]edeset (i )?pet[aeiou]","55"
"[Šš]ezdeset (i )?pet[aeiou]","65"
"[Ss]edamdeset (i )?pet[aeiou]","75"
"[Oo]samdeset (i )?pet[aeiou]","85"
"[Dd]evedeset (i )?pet[aeiou]","95"
"[Dd]vadeset (i )?šest[aeiou]","26"
"[Tt]rideset (i )?šest[aeiou]","36"
"[Čč]etrdeset (i )?šest[aeiou]","46"
"[Pp]edeset (i )?šest[aeiou]","56"
"[Šš]ezdeset (i )?šest[aeiou]","66"
"[Ss]edamdeset (i )?šest[aeiou]","76"
"[Oo]samdeset (i )?šest[aeiou]","86"
"[Dd]evedeset (i )?šest[aeiou]","96"
"[Dd]vadeset (i )?sedm[aeiou]","27"
"[Tt]rideset (i )?sedm[aeiou]","37"
"[Čč]etrdeset (i )?sedm[aeiou]","47"
"[Pp]edeset (i )?sedm[aeiou]","57"
"[Šš]ezdeset (i )?sedm[aeiou]","67"
"[Ss]edamdeset (i )?sedm[aeiou]","77"
"[Oo]samdeset (i )?sedm[aeiou]","87"
"[Dd]evedeset (i )?sedm[aeiou]","97"
"[Dd]vadeset (i )?osm[aeiou]","28"
"[Tt]rideset (i )?osm[aeiou]","38"
"[Čč]etrdeset (i )?osm[aeiou]","48"
"[Pp]edeset (i )?osm[aeiou]","58"
"[Šš]ezdeset (i )?osm[aeiou]","68"
"[Ss]edamdeset (i )?osm[aeiou]","78"
"[Oo]samdeset (i )?osm[aeiou]","88"
"[Dd]evedeset (i )?osm[aeiou]","98"
"[Dd]vadeset (i )?devet[aeiou]","29"
"[Tt]rideset (i )?devet[aeiou]","39"
"[Čč]etrdeset (i )?devet[aeiou]","49"
"[Pp]edeset (i )?devet[aeiou]","59"
"[Šš]ezdeset (i )?devet[aeiou]","69"
"[Ss]edamdeset (i )?devet[iaoe]","79"
"[Oo]samdeset (i )?devet[aeiou]","89"
"[Dd]evedeset (i )?devet[aeiou]","99"
