// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// date:  2011-06-10
// This file contains "duration numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "one" is "1"
// FORMAT: "duration-number","normalized-duration-number"
"واحد[هة]?","01"
"[اإ]حدى[\s]?و[\s]?سبع[وي]ن","71"
"واحد[\s]?و[\s]?سبع[وي]ن","71"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?سبع[وي]ن","72"
"ثلاث[هة]?[\s]?و[\s]?سبع[وي]ن","73"
"[أا]ربع[هة]?[\s]?و[\s]?سبع[وي]ن","74"
"خمس[هة]?[\s]?و[\s]?سبع[وي]ن","75"
"ست[هة]?[\s]?و[\s]?سبع[وي]ن","76"
"سبع[هة]?[\s]?و[\s]?سبع[وي]ن","77"
"ثماني[هة]?[\s]?و[\s]?سبع[وي]ن","78"
"تسع[هة]?[\s]?و[\s]?سبع[وي]ن","79"
"ثمان[وي]ن","80"
"[اإ]حدى[\s]?و[\s]?ثمان[وي]ن","81"
"واحد[\s]?و[\s]?ثمان[وي]ن","81"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?ثمان[وي]ن","82"
"ثلاث[هة]?[\s]?و[\s]?ثمان[وي]ن","83"
"[أا]ربع[هة]?[\s]?و[\s]?ثمان[وي]ن","84"
"خمس[هة]?[\s]?و[\s]?ثمان[وي]ن","85"
"ست[هة]?[\s]?و[\s]?ثمان[وي]ن","86"
"سبع[هة]?[\s]?و[\s]?ثمان[وي]ن","87"
"ثماني[هة]?[\s]?و[\s]?ثمان[وي]ن","88"
"تسع[هة]?[\s]?و[\s]?ثمان[وي]ن","89"
"تسع[وي]ن","90"
"[اإ]حدى[\s]?و[\s]?تسع[وي]ن","91"
"واحد[\s]?و[\s]?تسع[وي]ن","91"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?تسع[وي]ن","92"
"ثلاث[هة]?[\s]?و[\s]?تسع[وي]ن","93"
"[أا]ربع[هة]?[\s]?و[\s]?تسع[وي]ن","94"
"خمس[هة]?[\s]?و[\s]?تسع[وي]ن","95"
"ست[هة]?[\s]?و[\s]?تسع[وي]ن","96"
"سبع[هة]?[\s]?و[\s]?تسع[وي]ن","97"
"ثماني[هة]?[\s]?و[\s]?تسع[وي]ن","98"
"تسع[هة]?[\s]?و[\s]?تسع[وي]ن","99"
"م[ا]?ئ[هة]","1"
"م[ا]?ئت[اي][ن]?","2"
"ثلاث[هة]?[\s]?م[ا]?ئ[هة]","3"
"[اأ]ربع[هة]?[\s]?م[ا]?ئ[هة],"4"
"خمس[هة]?[\s]?م[ا]?ئ[هة]","5"
"ست[هة]?[\s]?م[ا]?ئ[هة]","6"
"سبع[هة]?[\s]?م[ا]?ئ[هة]","7"
"ثماني[هة]?[\s]?م[ا]?ئ[هة]","8"
"تسع[هة]?[\s]?م[ا]?ئ[هة]","9"
