// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// date:  2011-06-10
// This file contains "duration numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "one" is "1"
// FORMAT: "duration-number","normalized-duration-number"
"خمس[هة]?[\s]?و[\s]?خمس[وي]ن","55"
"ست[هة]?[\s]?و[\s]?خمس[وي]ن","56"
"سبع[هة]?[\s]?و[\s]?خمس[وي]ن","57"
"ثماني[هة]?[\s]?و[\s]?خمس[وي]ن","58"
"تسع[هة]?[\s]?و[\s]?خمس[وي]ن","59"
"ست[وي]ن","60"
"[اإ]حدى[\s]?و[\s]?ست[وي]ن","61"
"واحد[\s]?و[\s]?ست[وي]ن","61"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?ست[وي]ن","62"
"ثلاث[هة]?[\s]?و[\s]?ست[وي]ن","63"
"[أا]ربع[هة]?[\s]?و[\s]?ست[وي]ن","64"
"خمس[هة]?[\s]?و[\s]?ست[وي]ن","65"
"ست[هة]?[\s]?و[\s]?ست[وي]ن","66"
"سبع[هة]?[\s]?و[\s]?ست[وي]ن","67"
"ثماني[هة]?[\s]?و[\s]?ست[وي]ن","68"
"تسع[هة]?[\s]?و[\s]?ست[وي]ن","69"
"سبع[وي]ن","70"
"[اإ]حدى[\s]?و[\s]?سبع[وي]ن","71"
"واحد[\s]?و[\s]?سبع[وي]ن","71"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?سبع[وي]ن","72"
"ثلاث[هة]?[\s]?و[\s]?سبع[وي]ن","73"
"[أا]ربع[هة]?[\s]?و[\s]?سبع[وي]ن","74"
"خمس[هة]?[\s]?و[\s]?سبع[وي]ن","75"
"ست[هة]?[\s]?و[\s]?سبع[وي]ن","76"
"سبع[هة]?[\s]?و[\s]?سبع[وي]ن","77"
"ثماني[هة]?[\s]?و[\s]?سبع[وي]ن","78"
"تسع[هة]?[\s]?و[\s]?سبع[وي]ن","79"
"ثمان[وي]ن","80"
"[اإ]حدى[\s]?و[\s]?ثمان[وي]ن","81"
"واحد[\s]?و[\s]?ثمان[وي]ن","81"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?ثمان[وي]ن","82"
"ثلاث[هة]?[\s]?و[\s]?ثمان[وي]ن","83"
"[أا]ربع[هة]?[\s]?و[\s]?ثمان[وي]ن","84"
"خمس[هة]?[\s]?و[\s]?ثمان[وي]ن","85"
"ست[هة]?[\s]?و[\s]?ثمان[وي]ن","86"
"سبع[هة]?[\s]?و[\s]?ثمان[وي]ن","87"
"ثماني[هة]?[\s]?و[\s]?ثمان[وي]ن","88"
"تسع[هة]?[\s]?و[\s]?ثمان[وي]ن","89"
"تسع[وي]ن","90"
"[اإ]حدى[\s]?و[\s]?تسع[وي]ن","91"
"واحد[\s]?و[\s]?تسع[وي]ن","91"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?تسع[وي]ن","92"
"ثلاث[هة]?[\s]?و[\s]?تسع[وي]ن","93"
"[أا]ربع[هة]?[\s]?و[\s]?تسع[وي]ن","94"
"خمس[هة]?[\s]?و[\s]?تسع[وي]ن","95"
"ست[هة]?[\s]?و[\s]?تسع[وي]ن","96"
"سبع[هة]?[\s]?و[\s]?تسع[وي]ن","97"
"ثماني[هة]?[\s]?و[\s]?تسع[وي]ن","98"
"تسع[هة]?[\s]?و[\s]?تسع[وي]ن","99"
