// author: Elena Klyachko
// email:  elenaklyachko@gmail.com
// date:   2014-04-26
// This file contains "duration-numbers words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "один" is "1"
// FORMAT: "duration-number-word","normalized-duration-number-word"
"[Сс]орок(а)? восем(и|ью|ь)","48"
"[Сс]орок(а)? девят(и|ью|ь)","49"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью)","50"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) (один|одного|одному|одним|одном|одна|одной|одну|одних|одними|одним|одни)","51"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) (два|двух|двумя|двум|две)","52"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) (три|трех|трёх|тремя|трем|трём)","53"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) (четыре|четырех|четырём|четырем|четырём|четырьмя)","54"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) пят(и|ью|ь)","55"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) шест(и|ью|ь)","56"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) сем(и|ью|ь)","57"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) восем(и|ью|ь)","58"
"([Пп]ятьдесят|[Пп]ятидесяти|[Пп]ятьюдесятью) девят(и|ью|ь)","59"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью)","60"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) (один|одного|одному|одним|одном|одна|одной|одну|одних|одними|одним|одни)","61"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) (два|двух|двумя|двум|две)","62"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) (три|трех|трёх|тремя|трем|трём)","63"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) (четыре|четырех|четырём|четырем|четырём|четырьмя)","64"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) пят(и|ью|ь)","65"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) шест(и|ью|ь)","66"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) сем(и|ью|ь)","67"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) восем(и|ью|ь)","68"
"([Шш]естьдесят|[Шш]естидесяти|[Шш]естьюдесятью) девят(и|ью|ь)","69"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью)","70"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) (один|одного|одному|одним|одном|одна|одной|одну|одних|одними|одним|одни)","71"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) (два|двух|двумя|двум|две)","72"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) (три|трех|трёх|тремя|трем|трём)","73"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) (четыре|четырех|четырём|четырем|четырём|четырьмя)","74"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) пят(и|ью|ь)","75"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) шест(и|ью|ь)","76"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) сем(и|ью|ь)","77"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) восем(и|ью|ь)","78"
"([Сс]емьдесят|[Сс]емидесяти|[Сс]емьюдесятью) девят(и|ью|ь)","79"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью)","80"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) (один|одного|одному|одним|одном|одна|одной|одну|одних|одними|одним|одни)","81"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) (два|двух|двумя|двум|две)","82"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) (три|трех|трёх|тремя|трем|трём)","83"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) (четыре|четырех|четырём|четырем|четырём|четырьмя)","84"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) пят(и|ью|ь)","85"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) шест(и|ью|ь)","86"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) сем(и|ью|ь)","87"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) восем(и|ью|ь)","88"
"([Вв]осемьдесят|[Вв]осьмидесяти|[Вв]осемьюдесятью) девят(и|ью|ь)","89"
"[Дд]евяност(о|а)","90"
"[Дд]евяност(о|а) (один|одного|одному|одним|одном|одна|одной|одну|одних|одними|одним|одни)","91"
"[Дд]евяност(о|а) (два|двух|двумя|двум|две)","92"
"[Дд]евяност(о|а) (три|трех|трёх|тремя|трем|трём)","93"
"[Дд]евяност(о|а) (четыре|четырех|четырём|четырем|четырём|четырьмя)","94"
"[Дд]евяност(о|а) пят(и|ью|ь)","95"
"[Дд]евяност(о|а) шест(и|ью|ь)","96"
"[Дд]евяност(о|а) сем(и|ью|ь)","97"
"[Дд]евяност(о|а) восем(и|ью|ь)","98"
"[Дд]евяност(о|а) девят(и|ью|ь)","99"
