// author: Annika Boldt
// email:  aboldt@uni-heidelberg.de
// date:   2014-12-10
// This file contains "duration numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "one" is "1"
// FORMAT: "duration-number","normalized-duration-number"
"Kolmkümmend kuus","36"
"Kolmkümmend seitse","37"
"Kolmkümmend kaheksa","38"
"Kolmkümmend üheksa","39"
"Nelikümmend","40"
"Nelikümmend üks","41"
"Nelikümmend kaks","42"
"Nelikümmend kolm","43"
"Nelikümmend neli","44"
"Nelikümmend viis","45"
"Nelikümmend kuus","46"
"Nelikümmend seitse","47"
"Nelikümmend kaheksa","48"
"Nelikümmend üheksa","49"
"Viiskümmend","50"
"Viiskümmend üks","51"
"Viiskümmend kaks","52"
"Viiskümmend kolm","53"
"Viiskümmend neli","54"
"Viiskümmend viis","55"
"Viiskümmend kuus","56"
"Viiskümmend seitse","57"
"Viiskümmend kaheksa","58"
"Viiskümmend üheksa","59"
"Kuuskümmend","60"
"Kuuskümmend üks","61"
"Kuuskümmend kaks","62"
"Kuuskümmend kolm","63"
"Kuuskümmend neli","64"
"Kuuskümmend viis","65"
"Kuuskümmend kuus","66"
"Kuuskümmend seitse","67"
"Kuuskümmend kaheksa","68"
"Kuuskümmend üheksa","69"
"Seitsekümmend","70"
"Seitsekümmend üks","71"
"Seitsekümmend kaks","72"
"Seitsekümmend kolm","73"
"Seitsekümmend neli","74"
"Seitsekümmend viis","75"
"Seitsekümmend kuus","76"
"Seitsekümmend seitse","77"
"Seitsekümmend kaheksa","78"
"Seitsekümmend üheksa","79"
"Kaheksakümmend","80"
"Kaheksakümmend üks","81"
"Kaheksakümmend kaks","82"
"Kaheksakümmend kolm","83"
"Kaheksakümmend neli","84"
"Kaheksakümmend viis","85"
"Kaheksakümmend kuus","86"
"Kaheksakümmend seitse","87"
"Kaheksakümmend kaheksa","88"
"Kaheksakümmend üheksa","89"
"Üheksakümmend","90"
"Üheksakümmend üks","91"
"Üheksakümmend kaks","92"
"Üheksakümmend kolm","93"
"Üheksakümmend neli","94"
"Üheksakümmend viis","95"
"Üheksakümmend kuus","96"
"Üheksakümmend seitse","97"
"Üheksakümmend kaheksa","98"
"Üheksakümmend üheksa","99"
